"IL","ToplamSandik","ToplamSecmen","KullanilanOy","GecerliOy","Turnout","GecerliOy.Orani","Oy.SP","Parti.Oran.SP","Oy.BTP","Parti.Oran.BTP","Oy.TKP","Parti.Oran.TKP","Oy.VP","Parti.Oran.VP","Oy.CHP","Parti.Oran.CHP","Oy.MHP","Parti.Oran.MHP","Oy.DSP","Parti.Oran.DSP","Oy.Bagimsiz","Parti.Oran.Bagimsiz","Oy.AKP","Parti.Oran.AKP","Oy.IYI","Parti.Oran.IYI","Oy.HDP","Parti.Oran.HDP","Oy.DP","Parti.Oran.DP","Oy.BBP","Parti.Oran.BBP"
"Bitlis",105,31004,24864,23270,0.801961037285512,0.935891248391248,4359,0.187322733132789,42,0.00180489901160292,48,0.0020627417275462,0,0,315,0.0135367425870219,0,0,98,0.00421143102707348,0,0,10194,0.438074774387624,368,0.0158143532445208,7691,0.330511388053288,155,0.00666093682853459,0,0
"Bolu",354,113924,97578,94288,0.856518380674836,0.966283383549571,1488,0.0157814356015612,151,0.0016014763278466,118,0.00125148481248939,311,0.00329840488715425,49697,0.527076616324453,0,0,132,0.00139996606142881,0,0,42179,0.447342185643984,0,0,212,0.00224843034108264,0,0,0,0
"Burdur",194,58760,51329,49898,0.87353641933288,0.972121023203257,804,0.0161128702553209,29,0.000581185618662071,64,0.00128261653773698,259,0.00519058880115435,26515,0.531384023407752,0,0,139,0.00278568279289751,0,0,21929,0.439476532125536,0,0,159,0.00318650046094032,0,0,0,0
"Bursa",6841,2177764,1869050,1810384,0.858242674596513,0.968611861640941,32589,0.0180011533464723,3545,0.00195814810559528,1451,0.000801487419243652,4170,0.00230337873070023,851360,0.470264871982961,0,0,5976,0.00330095714500349,1255,0.00069322309521074,898292,0.496188653898841,0,0,0,0,11746,0.00648812627597239,0,0
"Çanakkale",286,93936,77881,76037,0.829085760517799,0.976322851529898,582,0.00765416836540106,220,0.00289332824808975,262,0.00344569091363415,0,0,46178,0.607309599274038,0,0,279,0.00366926627825927,990,0.0130199771164039,27080,0.356142404355774,0,0,0,0,0,0,446,0.00586556544840012
"Çankiri",160,51963,43286,41849,0.833015799703635,0.966802199325417,477,0.0113981218189204,33,0.000788549308227198,27,0.000645176706731344,35,0.000836340175392483,1968,0.0470262132906402,19665,0.469903701402662,64,0.00152930774928911,0,0,16001,0.38235083275586,3579,0.085521756792277,0,0,0,0,0,0
"Çorum",542,180368,152048,147564,0.842987669653154,0.970509312848574,1724,0.0116830663305413,139,0.000941964164701418,110,0.000745439267029899,124,0.000840313355560977,54196,0.367271150145022,24141,0.163596812230625,69,0.000467593722046027,398,0.00269713480252636,63866,0.432802038437559,2797,0.0189544875443875,0,0,0,0,0,0
"Denizli",2514,755160,665945,636308,0.881859473489062,0.955496324771565,4955,0.00778710938727786,1768,0.00277852863707513,1015,0.00159513946076428,2637,0.00414421946604475,0,0,0,0,4372,0.00687088642607039,4346,0.00683002571081929,321726,0.505613633649113,279412,0.439114391143911,8853,0.0139130735430012,7224,0.0113529925759224,0,0
"Diyarbakir",3643,1049462,824904,779593,0.786025601689247,0.94507118404081,15789,0.020252875538903,1425,0.00182787685369161,909,0.00116599302456538,521,0.000668297432121633,14270,0.0183044229488977,0,0,4378,0.00561575078278025,10097,0.0129516298889292,241633,0.30994762651794,0,0,490571,0.629265527012172,0,0,0,0
"Edirne",356,118952,97252,94471,0.817573475015132,0.97140418706042,2605,0.0275745996125795,7342,0.077716971345704,379,0.00401181314900869,220,0.00232875697303935,42388,0.448687957150872,0,0,410,0.00433995617702787,0,0,38555,0.408114659525145,0,0,1158,0.0122577298853616,655,0.00693334462427623,759,0.00803421155698574
