IL,ToplamSandik,ToplamSecmen,KullanilanOy,GecerliOy,Parti,Oy,Turnout,GecerliOy.Orani,Parti.Oran
Kilis,213,62657,51676,49802,TKP,165,0.824744242,0.963735583,0.00331312
Kilis,213,62657,51676,49802,AKP,23538,0.824744242,0.963735583,0.472631621
Kilis,213,62657,51676,49802,MHP,16224,0.824744242,0.963735583,0.325770049
Kilis,213,62657,51676,49802,IYI,8403,0.824744242,0.963735583,0.168728164
Kilis,213,62657,51676,49802,DSP,170,0.824744242,0.963735583,0.003413518
Osmaniye,452,150217,119922,113490,SP,2010,0.79832509,0.946365137,0.017710812
Osmaniye,452,150217,119922,113490,BTP,3112,0.79832509,0.946365137,0.027420918
Osmaniye,452,150217,119922,113490,TKP,210,0.79832509,0.946365137,0.001850383
Osmaniye,452,150217,119922,113490,DP,380,0.79832509,0.946365137,0.003348313
Osmaniye,452,150217,119922,113490,MHP,61788,0.79832509,0.946365137,0.544435633
Osmaniye,452,150217,119922,113490,IYI,22344,0.79832509,0.946365137,0.196880782
Osmaniye,452,150217,119922,113490,HDP,4125,0.79832509,0.946365137,0.036346815
Osmaniye,452,150217,119922,113490,DSP,326,0.79832509,0.946365137,0.0028725
Osmaniye,452,150217,119922,113490,Bagimsiz,1551,0.79832509,0.946365137,0.013666402
Osmaniye,452,150217,119922,113490,Bagimsiz,17644,0.79832509,0.946365137,0.155467442
Düzce,354,114146,97505,93973,SP,862,0.854213025,0.963776217,0.009172848
Düzce,354,114146,97505,93973,BTP,162,0.854213025,0.963776217,0.001723899
Düzce,354,114146,97505,93973,TKP,110,0.854213025,0.963776217,0.001170549
Düzce,354,114146,97505,93973,VP,182,0.854213025,0.963776217,0.001936727
Düzce,354,114146,97505,93973,BBP,503,0.854213025,0.963776217,0.005352601
Düzce,354,114146,97505,93973,AKP,44299,0.854213025,0.963776217,0.47140136
Düzce,354,114146,97505,93973,DP,469,0.854213025,0.963776217,0.004990795
Düzce,354,114146,97505,93973,MHP,20443,0.854213025,0.963776217,0.217541209
Düzce,354,114146,97505,93973,IYI,26280,0.854213025,0.963776217,0.279654794
Düzce,354,114146,97505,93973,DSP,226,0.854213025,0.963776217,0.002404946
Düzce,354,114146,97505,93973,Bagimsiz,437,0.854213025,0.963776217,0.004650272
