"Il","Ilce","ToplamSandik","ToplamSecmen","KullanilanOy","GecerliOy","Turnout","GecerliOy.Orani","Oy.SP","Parti.Oran.SP","Oy.BTP","Parti.Oran.BTP","Oy.TKP","Parti.Oran.TKP","Oy.VP","Parti.Oran.VP","Oy.BBP","Parti.Oran.BBP","Oy.CHP","Parti.Oran.CHP","Oy.AKP","Parti.Oran.AKP","Oy.DP","Parti.Oran.DP","Oy.DSP","Parti.Oran.DSP","Oy.Bagimsiz","Parti.Oran.Bagimsiz","Oy.MHP","Parti.Oran.MHP","Oy.IYI","Parti.Oran.IYI","Oy.HDP","Parti.Oran.HDP"
"ADANA","Yüregir",843,272364,221930,211614,0.814828685141942,0.953516874690218,4447,0.0210146776678292,345,0.00163032691598855,0,0,419,0.00198002022550493,2067,0.00976778474014007,99988,0.472501819350327,103645,0.489783284659805,0,0,703,0.00332208644040564,0,0,0,0,0,0,0,0
"ADANA","Aladag",55,12670,11957,11425,0.943725335438043,0.955507234256084,85,0.0074398249452954,35,0.00306345733041575,0,0,0,0,49,0.00428884026258206,0,0,6161,0.53925601750547,0,0,32,0.00280087527352298,47,0.00411378555798687,0,0,5016,0.439037199124726,0,0
"ADANA","Imamoglu",69,20534,18624,17718,0.906983539495471,0.951353092783505,228,0.0128682695563833,16,0.000903036460097076,0,0,19,0.00107235579636528,41,0.00231403092899876,7221,0.407551642397562,0,0,3301,0.186307709673778,88,0.00496670053053392,0,0,6804,0.384016254656282,0,0,0,0
"ADANA","Sariçam",362,113127,97094,93310,0.858274328851645,0.961027457927369,984,0.0105454935162362,131,0.00140392240917372,178,0.00190761976208338,219,0.00234701532525989,417,0.00446897438645376,0,0,0,0,0,0,1788,0.019161933340478,0,0,57503,0.616257635837531,30702,0.329032258064516,1388,0.0148751473582681
"ADANA","Çukurova",798,267788,219725,214961,0.820518469834347,0.978318352486062,4050,0.0188406269044152,274,0.00127464982019994,0,0,572,0.00266094779983346,895,0.00416354594554361,125467,0.583673317485497,0,0,3214,0.0149515493508125,2295,0.0106763552458353,0,0,78194,0.363759007447863,0,0,0,0
"ADIYAMAN","Merkez",485,159663,128635,123641,0.805665683345547,0.961176973607494,34766,0.281185043796152,256,0.00207051059114695,268,0.00216756577510696,172,0.00139112430342686,0,0,0,0,65805,0.532226365040723,0,0,331,0.00267710549089703,645,0.00521671613785071,6720,0.0543509030176074,14678,0.11871466584709,0,0
"ADIYAMAN","Besni",70,21842,18496,17689,0.846808900283857,0.956368944636678,5545,0.313471649047431,39,0.00220476002035163,0,0,0,0,0,0,3899,0.220419469726949,7958,0.449884108768161,0,0,0,0,62,0.00350500310927695,186,0.0105150093278309,0,0,0,0
"ADIYAMAN","Çelikhan",21,5780,5342,5043,0.924221453287197,0.944028453762636,1409,0.279397184215745,4,0.000793178663493952,0,0,0,0,0,0,0,0,2355,0.466983938132064,0,0,0,0,0,0,1275,0.252825698988697,0,0,0,0
"ADIYAMAN","Gerger",8,2248,1890,1771,0.840747330960854,0.937037037037037,838,0.473178994918125,4,0.00225861095426313,0,0,0,0,0,0,0,0,929,0.524562394127612,0,0,0,0,0,0,0,0,0,0,0,0
"ADIYAMAN","Gölbasi",68,21859,18912,18217,0.865181389816552,0.963250846023689,103,0.00565405939507054,10,0.000548937805346654,0,0,0,0,0,0,8849,0.485755063951254,6262,0.343744853708075,0,0,0,0,36,0.00197617609924796,2957,0.162320909041006,0,0,0,0
"ADIYAMAN","Kahta",144,47879,39992,38069,0.835272248793834,0.951915383076615,18710,0.491476004097822,144,0.00378260526937929,0,0,0,0,0,0,0,0,18391,0.483096482702461,0,0,0,0,0,0,519,0.0136331398250545,305,0.00801176810528251,0,0
"ADIYAMAN","Samsat",10,2556,2339,2222,0.91510172143975,0.949978623343309,853,0.383888388838884,10,0.0045004500450045,0,0,0,0,0,0,0,0,1318,0.593159315931593,0,0,0,0,0,0,41,0.0184518451845185,0,0,0,0
"ADIYAMAN","Sincik",11,2899,2730,2674,0.94170403587444,0.979487179487179,531,0.198578908002992,27,0.0100972326103216,0,0,0,0,0,0,0,0,1041,0.389304412864622,0,0,0,0,1051,0.393044128646223,24,0.00897531787584144,0,0,0,0
"ADIYAMAN","Tut",11,2619,2509,2436,0.957999236349752,0.970904742925468,6,0.00246305418719212,5,0.00205254515599343,0,0,0,0,0,0,1206,0.495073891625616,1190,0.488505747126437,0,0,0,0,0,0,29,0.0119047619047619,0,0,0,0
"AFYONKARAHISAR","Merkez",457,148907,131095,127368,0.880381714761563,0.971570235325527,741,0.00581778782739778,67,0.000526034796809246,111,0.000871490484266064,135,0.00105992085924251,0,0,0,0,54712,0.429558444821305,0,0,315,0.00247314867156586,0,0,20725,0.162717480057785,50562,0.396975692481628,0,0
"AFYONKARAHISAR","Bolvadin",90,21432,19053,18058,0.888997760358343,0.947777252926048,99,0.00548233469930225,305,0.0168900210433049,0,0,0,0,0,0,0,0,5750,0.318418429504929,0,0,0,0,8203,0.45425850038764,2866,0.158710820688891,835,0.0462398936759331,0,0
"AFYONKARAHISAR","Çay",40,10606,9460,9061,0.891947953988309,0.957822410147992,38,0.00419379759408454,8,0.000882904756649376,0,0,0,0,0,0,2379,0.262553802008608,4656,0.513850568369937,150,0.0165544641871758,0,0,0,0,1244,0.137291689658978,586,0.0646727734245668,0,0
"AFYONKARAHISAR","Dazkiri",14,3849,3507,3375,0.911145752143414,0.962360992301112,19,0.00562962962962963,19,0.00562962962962963,0,0,0,0,0,0,1750,0.518518518518518,1587,0.470222222222222,0,0,0,0,0,0,0,0,0,0,0,0
"AFYONKARAHISAR","Dinar",68,18723,16346,15520,0.873043849810394,0.949467759696562,210,0.0135309278350515,73,0.00470360824742268,0,0,0,0,0,0,0,0,7988,0.514690721649484,0,0,0,0,0,0,0,0,7249,0.467074742268041,0,0
