Il,Ilce,ToplamSandik,ToplamSecmen,KullanilanOy,GecerliOy,Parti,Oy,Turnout,GecerliOy.Orani,Parti.Oran
ANKARA,Sincan,1078,357827,301278,288268,IYI,75321,0.841965531,0.956817292,0.261288107
ANKARA,Sincan,1078,357827,301278,288268,DSP,2432,0.841965531,0.956817292,0.008436594
ANKARA,Sincan,1078,357827,301278,288268,Bagimsiz,342,0.841965531,0.956817292,0.001186396
ANKARA,Sincan,1078,357827,301278,288268,Bagimsiz,293,0.841965531,0.956817292,0.001016415
ANKARA,Kahramankazan,135,36841,33183,32161,SP,173,0.90070845,0.969201097,0.005379186
ANKARA,Kahramankazan,135,36841,33183,32161,BTP,42,0.90070845,0.969201097,0.00130593
ANKARA,Kahramankazan,135,36841,33183,32161,VP,47,0.90070845,0.969201097,0.001461397
ANKARA,Kahramankazan,135,36841,33183,32161,AKP,17145,0.90070845,0.969201097,0.533099095
ANKARA,Kahramankazan,135,36841,33183,32161,DP,89,0.90070845,0.969201097,0.002767327
ANKARA,Kahramankazan,135,36841,33183,32161,IYI,14483,0.90070845,0.969201097,0.450328037
ANKARA,Kahramankazan,135,36841,33183,32161,DSP,73,0.90070845,0.969201097,0.00226983
ANKARA,Kahramankazan,135,36841,33183,32161,Bagimsiz,109,0.90070845,0.969201097,0.003389198
ANKARA,Akyurt,85,23891,21557,20637,SP,167,0.902306308,0.957322447,0.008092261
ANKARA,Akyurt,85,23891,21557,20637,BTP,420,0.902306308,0.957322447,0.020351795
ANKARA,Akyurt,85,23891,21557,20637,VP,30,0.902306308,0.957322447,0.0014537
ANKARA,Akyurt,85,23891,21557,20637,BBP,459,0.902306308,0.957322447,0.022241605
ANKARA,Akyurt,85,23891,21557,20637,AKP,11238,0.902306308,0.957322447,0.544555895
ANKARA,Akyurt,85,23891,21557,20637,IYI,1461,0.902306308,0.957322447,0.070795174
ANKARA,Akyurt,85,23891,21557,20637,DSP,70,0.902306308,0.957322447,0.003391966
ANKARA,Akyurt,85,23891,21557,20637,Bagimsiz,304,0.902306308,0.957322447,0.014730823
ANKARA,Akyurt,85,23891,21557,20637,Bagimsiz,6488,0.902306308,0.957322447,0.314386781
ANKARA,Etimesgut,1186,405522,344898,332548,SP,6116,0.850503795,0.964192312,0.01839133
ANKARA,Etimesgut,1186,405522,344898,332548,BTP,818,0.850503795,0.964192312,0.002459795
ANKARA,Etimesgut,1186,405522,344898,332548,VP,1077,0.850503795,0.964192312,0.00323863
ANKARA,Etimesgut,1186,405522,344898,332548,BBP,5451,0.850503795,0.964192312,0.016391619
ANKARA,Etimesgut,1186,405522,344898,332548,CHP,152057,0.850503795,0.964192312,0.457248277
